insert into aluno values (999, '88687797166', 'João', 'João', '1952-12-09', 696653, '2007', null, 31, null);
insert into aluno values (1510, '52142781122', 'Lucas', 'Miguel', '1968-07-10', 954955, '2000', 12, null, null);
insert into aluno values (1511, '73923583495', 'Antônio', 'Ravi', '1969-12-12', 801612, '2017', 13, null, null);
insert into aluno values (1512, '56921556983', 'Samuel', 'Murilo', '1968-01-14', 70854, '2014', 14, null, null);
insert into aluno values (1513, '76789917162', 'Henrique', 'Henrique', '1964-03-04', 577823, '2002', 15, null, null);
insert into aluno values (1514, '95253447569', 'Lucca', 'Enzo', '1970-12-07', 959472, '2002', 16, null, null);
insert into aluno values (1515, '13923496635', 'Davi', 'Miguel', '1977-02-03', 668559, '2017', 17, null, null);
insert into aluno values (1516, '96943327397', 'Davi', 'Henrique', '1989-06-23', 756625, '2015', 18, null, null);
insert into aluno values (1517, '64267917514', 'Henrique', 'Rodrigo', '1981-05-04', 409217, '2015', 19, null, null);
insert into aluno values (1518, '93411774959', 'Felipe', 'Yuri', '1952-04-20', 156264, '1994', 20, null, null);
insert into aluno values (1519, '76448987776', 'Augusto', 'Murilo', '1958-06-15', 353528, '2002', 21, null, null);
insert into aluno values (1520, '94423915949', 'Ryan', 'Caleb', '1964-10-01', 686051, '1995', 22, null, null);
insert into aluno values (1521, '11363741599', 'Felipe', 'Cauã', '1985-07-14', 107011, '2019', 23, null, null);
insert into aluno values (1522, '17222975972', 'Henrique', 'Lucca', '1979-09-22', 931617, '2000', 24, null, null);
insert into aluno values (1523, '46889566889', 'Antônio', 'Thiago', '1979-12-17', 552236, '1995', 25, null, null);
insert into aluno values (1525, '42129675572', 'Enrico', 'Murilo', '1990-07-03', 959805, '1994', 27, null, null);
insert into aluno values (1526, '31229259139', 'Vicente', 'Oliver', '1953-12-19', 595681, '2004', 28, null, null);
insert into aluno values (1527, '51669959847', 'Nathan', 'Matteo', '1991-03-14', 626435, '1997', 29, null, null);
insert into aluno values (1528, '31718165341', 'Arthur', 'Daniel', '1961-05-10', 77945, '1997', 30, null, null);
insert into aluno values (1529, '38957482139', 'Mathias', 'Pedro', '1957-03-28', 448956, '2004', 31, null, null);
insert into aluno values (1530, '37216439638', 'Vitor', 'Tomás', '1974-02-26', 173125, '1996', 32, null, null);
insert into aluno values (1531, '11716584837', 'Daniel', 'Otávio', '1961-02-14', 954952, '2017', 33, null, null);
insert into aluno values (1532, '19331833324', 'Lucas', 'Pietro', '1992-01-18', 8056, '2019', 34, null, null);
insert into aluno values (1533, '47335633147', 'Bruno', 'Luiz', '1952-03-26', 864695, '2011', 35, null, null);
insert into aluno values (1534, '13775616421', 'Miguel', 'Enzo', '1987-10-18', 576404, '2003', 36, null, null);
insert into aluno values (1535, '42741223678', 'Luiz', 'Murilo', '2000-11-04', 226432, '2014', 37, null, null);
insert into aluno values (1536, '22446433818', 'Ryan', 'Hugo', '1982-10-23', 718671, '2016', 38, null, null);
insert into aluno values (1537, '57236628945', 'Pietro', 'Caio', '1957-11-27', 754241, '2003', 39, null, null);
insert into aluno values (1538, '65611188226', 'Enzo', 'Noah', '1966-10-08', 226432, '2003', 40, null, null);
insert into aluno values (1539, '71112299669', 'Henrique', 'Pietro', '1961-04-26', 361616, '1996', 41, null, null);
insert into aluno values (1540, '49228481438', 'Yuri', 'Gustavo', '1982-08-11', 986562, '2007', 42, null, null);
insert into aluno values (1541, '79764783895', 'Matteo', 'Gabriel', '1978-10-01', 565699, '1992', 43, null, null);
insert into aluno values (1542, '78918475182', 'João', 'Lorenzo', '1964-11-29', 498879, '2008', 44, null, null);
insert into aluno values (1543, '64998548789', 'Augusto', 'Lucas', '1990-01-30', 590723, '2013', 45, null, null);
insert into aluno values (1544, '81358428311', 'Davi', 'João', '1958-04-12', 461798, '2014', 46, null, null);
insert into aluno values (1545, '71151343253', 'Otávio', 'Lucas', '1982-02-07', 777945, '2016', 47, null, null);
insert into aluno values (1546, '74619631281', 'Murilo', 'Luiz', '1982-12-28', 292950, '2011', 48, null, null);
insert into aluno values (1547, '58943738836', 'Eduardo', 'Rafael', '1985-07-05', 734406, '2002', 49, null, null);
insert into aluno values (1548, '96513636379', 'Davi', 'Erick', '1951-11-27', 981867, '2005', 50, null, null);
insert into aluno values (1549, '73523627586', 'Oliver', 'Arthur', '1970-04-08', 149577, '2011', 51, null, null);
insert into aluno values (1550, '32553783929', 'Arthur', 'Felipe', '1966-11-26', 304321, '2004', 52, null, null);
insert into aluno values (1551, '91793324612', 'Eduardo', 'Pedro', '1976-06-09', 24335, '2003', 53, null, null);
insert into aluno values (1552, '73723462715', 'Henry', 'Gabriel', '1968-05-27', 551339, '2007', 54, null, null);
insert into aluno values (1553, '34586782438', 'Enrico', 'Gabriel', '1966-01-03', 695898, '1997', 55, null, null);
insert into aluno values (1554, '25711846235', 'Lucca', 'Bernardo', '1997-01-23', 363068, '1993', 56, null, null);
insert into aluno values (1555, '29266791127', 'Augusto', 'Pedro', '1950-06-24', 55189, '2005', 57, null, null);
insert into aluno values (1556, '14541895698', 'Antônio', 'Gabriel', '1969-11-09', 265105, '1990', 58, null, null);
insert into aluno values (1557, '26376953161', 'Caio', 'Yan', '1953-02-13', 221894, '2011', 59, null, null);
insert into aluno values (1558, '22262886326', 'Lucca', 'Heitor', '1966-12-29', 613402, '2013', 60, null, null);
insert into aluno values (1559, '68128834871', 'Tomás', 'Matheus', '1962-05-19', 331032, '2018', 61, null, null);
insert into aluno values (1560, '55635171815', 'Breno', 'Theodoro', '1985-04-23', 628480, '2009', 62, null, null);
insert into aluno values (1561, '47456297267', 'Theodoro', 'Otávio', '1971-07-16', 754241, '2004', 63, null, null);
insert into aluno values (1562, '86384839179', 'Arthur', 'Luiz', '1978-06-08', 121844, '2016', 64, null, null);
insert into aluno values (1563, '98674166543', 'Guilherme', 'Bruno', '1961-11-29', 836282, '2005', 65, null, null);
insert into aluno values (1564, '48954667692', 'Mathias', 'Luiz', '1955-07-03', 317529, '1994', 66, null, null);
insert into aluno values (1565, '64488899664', 'Enzo', 'Bento', '1979-10-17', 849033, '1991', 67, null, null);
insert into aluno values (1566, '66985693944', 'Felipe', 'Antônio', '1987-10-11', 6888, '1996', 68, null, null);
insert into aluno values (1567, '78325678767', 'Arthur', 'Vicente', '1998-07-21', 203242, '1998', 69, null, null);
insert into aluno values (1568, '81831743925', 'Miguel', 'Henrique', '1990-06-09', 627349, '2011', 70, null, null);
insert into aluno values (1569, '42642646215', 'Bruno', 'João', '1986-08-20', 323880, '2006', 71, null, null);
insert into aluno values (1570, '96699649294', 'Levi', 'Miguel', '1951-10-13', 260677, '1996', 72, null, null);
insert into aluno values (1571, '25969555864', 'Davi', 'Emanuel', '1991-12-09', 259185, '1994', 73, null, null);
insert into aluno values (1572, '21329869226', 'Yago', 'Rafael', '1963-10-30', 259185, '1998', 74, null, null);
insert into aluno values (1573, '77845534177', 'Lucas', 'Miguel', '1973-05-30', 718671, '2003', 75, null, null);
insert into aluno values (1574, '75947624268', 'Pedro', 'Miguel', '1985-08-20', 188365, '1995', 76, null, null);
insert into aluno values (1576, '23211338214', 'Josué', 'Yan', '1957-09-18', 418365, '2017', 78, null, null);
insert into aluno values (1577, '29942578118', 'Vinícius', 'Caleb', '1978-05-11', 321910, '1999', 79, null, null);
insert into aluno values (1578, '64133957985', 'Henrique', 'Vitor', '1982-09-19', 579073, '2019', 80, null, null);
insert into aluno values (1579, '88972989978', 'Davi', 'Bryan', '1985-08-27', 950880, '1991', 81, null, null);
insert into aluno values (1580, '68468874453', 'Bryan', 'Henry', '1968-11-17', 307933, '2007', 82, null, null);
insert into aluno values (1581, '62131633265', 'Felipe', 'Henry', '1966-12-18', 929945, '2010', 83, null, null);
insert into aluno values (1582, '91831976658', 'Davi', 'Bernardo', '1985-11-30', 416674, '1994', 84, null, null);
insert into aluno values (1583, '81371627748', 'Samuel', 'Vitor', '1952-08-16', 545233, '1990', 85, null, null);
insert into aluno values (1584, '55499872428', 'Luiz', 'Raul', '1980-08-10', 257889, '2014', 86, null, null);
insert into aluno values (1585, '41359589634', 'Nicolas', 'João', '1983-12-17', 501584, '1997', 87, null, null);
insert into aluno values (1586, '41191843163', 'Luiz', 'Luiz', '1953-03-11', 720753, '2000', 88, null, null);
insert into aluno values (1587, '55238284569', 'Antônio', 'Martin', '1964-04-07', 331032, '2018', 89, null, null);
insert into aluno values (1588, '54535148369', 'Cauã', 'Otto', '1985-11-11', 368363, '1992', 90, null, null);
insert into aluno values (1589, '48545578212', 'Vitor', 'Davi', '1977-11-16', 435161, '1998', 91, null, null);
insert into aluno values (1590, '55497897635', 'João', 'João', '1997-09-25', 188365, '2001', 92, null, null);
insert into aluno values (1591, '22222664431', 'Arthur', 'Matteo', '1976-10-30', 483074, '2015', 93, null, null);
insert into aluno values (1592, '31489485886', 'Martin', 'Henry', '1995-04-20', 794455, '1996', 94, null, null);
insert into aluno values (1593, '72469761117', 'Erick', 'Matteo', '1981-04-25', 82432, '1996', 95, null, null);
insert into aluno values (1594, '49686889682', 'Otto', 'Théo', '1998-09-08', 534723, '2005', 96, null, null);
insert into aluno values (1595, '21324579775', 'Bento', 'João', '1957-02-03', 583884, '2000', 97, null, null);
insert into aluno values (1596, '73311875186', 'João', 'Murilo', '1970-12-11', 654089, '1999', 98, null, null);
insert into aluno values (1597, '21759881945', 'Miguel', 'Anthony', '1966-08-07', 180407, '2008', 99, null, null);
insert into aluno values (1598, '69385257153', 'Gabriel', 'Davi', '1959-01-20', 68194, '2006', 100, null, null);
insert into aluno values (1599, '78649769538', 'José', 'Luiz', '1968-07-17', 928762, '2017', 101, null, null);
insert into aluno values (1600, '78962565853', 'Raul', 'Mathias', '1952-11-21', 933995, '2008', 102, null, null);
insert into aluno values (1601, '67746723732', 'Hugo', 'Nicolas', '1962-09-14', 584770, '2017', 103, null, null);
insert into aluno values (1602, '44569674978', 'Nathan', 'Lucca', '2000-07-10', 216335, '2016', 104, null, null);
insert into aluno values (1603, '83412433632', 'Lorenzo', 'Gabriel', '1996-12-24', 435975, '2011', 105, null, null);
insert into aluno values (1604, '75316758353', 'Henrique', 'Bento', '1993-08-04', 126671, '2017', 106, null, null);
insert into aluno values (1605, '55193773246', 'Luiz', 'Vitor', '1968-12-01', 853716, '2009', 107, null, null);
insert into aluno values (1606, '45139732157', 'Breno', 'Benjamin', '1965-01-27', 288811, '2008', 108, null, null);
insert into aluno values (1607, '89744144484', 'Luiz', 'Miguel', '1976-10-29', 608714, '2006', 109, null, null);
insert into aluno values (1608, '68153747797', 'Thiago', 'Guilherme', '1988-10-05', 853716, '1998', 110, null, null);
insert into aluno values (1609, '46352471329', 'Benjamin', 'Luiz', '1979-07-31', 978506, '2010', 111, null, null);
insert into aluno values (1610, '68614655444', 'Ryan', 'Benjamin', '1952-08-16', 618675, '2019', 112, null, null);
insert into aluno values (1611, '97198967671', 'Miguel', 'Pedro', '1955-07-21', 565236, '2015', 113, null, null);
insert into aluno values (1612, '95139148312', 'Heitor', 'Pedro', '1994-03-31', 919679, '1997', 114, null, null);
insert into aluno values (1613, '67354775336', 'Ryan', 'Henrique', '1956-09-20', 398692, '2019', 115, null, null);
insert into aluno values (1614, '73453664238', 'Henrique', 'Antônio', '1957-11-09', 613402, '2002', 116, null, null);
insert into aluno values (1615, '14518478897', 'Matheus', 'Benício', '1979-09-06', 640411, '2016', 117, null, null);
insert into aluno values (1616, '69257386536', 'Oliver', 'Joaquim', '1998-06-17', 232957, '2014', 118, null, null);
insert into aluno values (1617, '78613197586', 'Lucas', 'João', '1985-01-07', 933995, '2006', 119, null, null);
insert into aluno values (1618, '87745391849', 'Kauê', 'Rodrigo', '1990-12-07', 583884, '1997', 120, null, null);
insert into aluno values (1619, '61164634182', 'Miguel', 'Lucas', '1956-07-24', 458181, '2000', 121, null, null);
insert into aluno values (1620, '48433163281', 'Gabriel', 'Benício', '1963-03-09', 935998, '2013', 122, null, null);
insert into aluno values (1621, '96714728888', 'Daniel', 'Caio', '1953-09-17', 968072, '2004', 123, null, null);
insert into aluno values (1622, '72992841582', 'Nathan', 'Miguel', '1953-10-10', 115274, '2002', 124, null, null);
insert into aluno values (1624, '51852677834', 'Joaquim', 'Hugo', '1959-07-27', 581877, '2018', 126, null, null);
insert into aluno values (1625, '65993799123', 'Yan', 'Kauê', '1984-09-22', 867960, '1991', 127, null, null);
insert into aluno values (1626, '93484745352', 'Bernardo', 'Joaquim', '1990-04-06', 373440, '2015', 128, null, null);
insert into aluno values (1627, '43415912128', 'Matheus', 'Gabriel', '1956-06-27', 762000, '1999', 129, null, null);
insert into aluno values (1628, '79399682568', 'Murilo', 'Ryan', '1990-11-03', 194003, '1991', 130, null, null);
insert into aluno values (1629, '89685853556', 'Henrique', 'Felipe', '1995-01-10', 173163, '1994', 131, null, null);
insert into aluno values (1630, '91527481452', 'Davi', 'Augusto', '1955-05-29', 716250, '2012', 132, null, null);
insert into aluno values (1631, '86424826427', 'Enrico', 'Davi', '1957-03-30', 603313, '1999', 133, null, null);
insert into aluno values (1632, '92266248687', 'Davi', 'José', '1961-05-03', 68194, '2004', 134, null, null);
insert into aluno values (1633, '74876613899', 'Gustavo', 'Caio', '1990-04-17', 389088, '2010', 135, null, null);
insert into aluno values (1634, '51755961222', 'Luiz', 'João', '1954-04-09', 389088, '1993', 136, null, null);
insert into aluno values (1635, '54975284568', 'Cauã', 'Benício', '1978-04-19', 747945, '1995', 137, null, null);
insert into aluno values (1636, '49521339886', 'Caleb', 'Davi', '1979-10-22', 17034, '2015', 138, null, null);
insert into aluno values (1637, '37379647711', 'Gabriel', 'Otávio', '1991-07-05', 464746, '1997', 139, null, null);
insert into aluno values (1638, '61315747989', 'Isaac', 'Pedro', '1996-07-14', 38269, '2006', 140, null, null);
insert into aluno values (1639, '53454332852', 'Joaquim', 'Vitor', '1972-09-09', 27363, '1996', 141, null, null);
insert into aluno values (1640, '99726179498', 'Vinícius', 'Bento', '1964-05-21', 43210, '2015', 142, null, null);
insert into aluno values (1641, '44628691313', 'Vicente', 'Gabriel', '1954-08-09', 571795, '2003', 143, null, null);
insert into aluno values (1642, '95541386816', 'Henry', 'João', '1998-01-02', 277057, '1994', 144, null, null);
insert into aluno values (1643, '18832638511', 'Mathias', 'Otto', '1950-04-02', 226432, '2019', 145, null, null);
insert into aluno values (1644, '49928616826', 'Davi', 'Vitor', '1995-07-24', 82432, '1999', 146, null, null);
insert into aluno values (1646, '45739711451', 'Noah', 'Arthur', '1968-04-17', 600117, '2014', 148, null, null);
insert into aluno values (1647, '58339689492', 'João', 'Yan', '1958-10-09', 351791, '2001', 149, null, null);
insert into aluno values (1648, '82319747421', 'Lucas', 'Martin', '1971-09-12', 813462, '2005', 150, null, null);
insert into aluno values (1649, '67311159643', 'Enzo', 'Arthur', '1969-04-15', 224994, '1990', 151, null, null);
insert into aluno values (1650, '95131655745', 'João', 'Erick', '1983-06-12', 686051, '2015', 152, null, null);
insert into aluno values (1651, '91943388262', 'Anthony', 'Vitor', '1966-07-04', 389088, '2013', 153, null, null);
insert into aluno values (1652, '49412859118', 'Enzo', 'Levi', '1987-05-24', 919967, '1990', 154, null, null);
insert into aluno values (1653, '27151618658', 'Samuel', 'Gabriel', '1982-03-28', 394321, '2017', 155, null, null);
insert into aluno values (1654, '52725645798', 'Gabriel', 'Miguel', '1965-12-23', 545233, '2004', 156, null, null);
insert into aluno values (1655, '23974527381', 'Levi', 'Lucas', '1958-10-12', 833024, '2006', 157, null, null);
insert into aluno values (1656, '68237144131', 'Heitor', 'Lucas', '1958-01-13', 351791, '2005', 158, null, null);
insert into aluno values (1657, '89595387716', 'Pietro', 'Felipe', '1991-12-30', 188283, '1990', 159, null, null);
insert into aluno values (1658, '32232757891', 'Hugo', 'Vinícius', '1972-10-18', 149577, '2001', 160, null, null);
insert into aluno values (1659, '25914921725', 'Vicente', 'Breno', '1962-06-12', 9545, '1992', 161, null, null);
insert into aluno values (1660, '59589338454', 'Pedro', 'Valentim', '1994-06-18', 720753, '1993', 162, null, null);
insert into aluno values (1661, '75872268294', 'José', 'Bruno', '1968-08-27', 796628, '2003', 163, null, null);
insert into aluno values (1662, '54216692114', 'Oliver', 'João', '1971-04-08', 681258, '1995', 164, null, null);
insert into aluno values (1663, '43243447416', 'Miguel', 'Rodrigo', '1965-05-24', 595681, '2002', 165, null, null);
insert into aluno values (1664, '69436225287', 'Otto', 'Otávio', '2000-03-20', 130463, '1992', 166, null, null);
insert into aluno values (1665, '92833376265', 'Nicolas', 'Josué', '1966-12-13', 583543, '2016', 167, null, null);
insert into aluno values (1666, '29289445779', 'Tomás', 'Henrique', '1975-09-05', 696653, '1999', 168, null, null);
insert into aluno values (1667, '54813297724', 'Breno', 'Ícaro', '1967-10-06', 399350, '2016', 169, null, null);
insert into aluno values (1668, '41139585394', 'Hugo', 'Ravi', '1993-06-02', 857672, '2005', 170, null, null);
insert into aluno values (1669, '61331767923', 'Davi', 'Pedro', '1968-04-07', 334920, '1999', 171, null, null);
insert into aluno values (1670, '65361571444', 'Lucas', 'Davi', '1951-09-27', 321385, '2005', 172, null, null);
insert into aluno values (1671, '81298976586', 'Henrique', 'Henrique', '1973-05-16', 117345, '2007', 173, null, null);
insert into aluno values (1672, '79982794769', 'Benjamin', 'Gael', '1994-09-28', 301040, '1996', 174, null, null);
insert into aluno values (1673, '81533326692', 'Breno', 'Miguel', '1982-10-14', 993853, '2011', 175, null, null);
insert into aluno values (1674, '58543832236', 'Benjamin', 'Hugo', '1954-07-30', 429358, '1997', 176, null, null);
insert into aluno values (1675, '72141849614', 'Cauã', 'Miguel', '1970-04-19', 710464, '1999', 177, null, null);
insert into aluno values (1676, '41888286666', 'Matteo', 'Tomás', '1994-08-09', 668559, '1997', 178, null, null);
insert into aluno values (1677, '71764587569', 'Josué', 'Miguel', '1976-08-25', 88749, '2013', 179, null, null);
insert into aluno values (1678, '55577448841', 'Miguel', 'Bruno', '1991-11-24', 977731, '1995', 180, null, null);
insert into aluno values (1679, '54683997966', 'Bruno', 'Miguel', '1963-08-28', 871766, '1996', 181, null, null);
insert into aluno values (1680, '39423274266', 'Miguel', 'Luiz', '1980-02-25', 667900, '2011', 182, null, null);
insert into aluno values (1681, '18296788289', 'João', 'Miguel', '1961-07-06', 974811, '2008', 183, null, null);
insert into aluno values (1682, '23173512623', 'Luan', 'Miguel', '1963-07-10', 772651, '2010', 184, null, null);
insert into aluno values (1683, '42998948594', 'Gabriel', 'Yan', '1960-09-08', 321910, '1990', 185, null, null);
insert into aluno values (1684, '96763497586', 'Leonardo', 'Caio', '1990-08-04', 777945, '2009', 186, null, null);
insert into aluno values (1685, '12591413141', 'Pedro', 'Samuel', '1975-03-16', 466567, '2010', 187, null, null);
insert into aluno values (1686, '39927444695', 'Miguel', 'Daniel', '1970-05-10', 576404, '1996', 188, null, null);
insert into aluno values (1687, '91454145439', 'Hugo', 'Oliver', '1999-01-08', 323880, '1993', 189, null, null);
insert into aluno values (1688, '73714978925', 'Felipe', 'Davi', '1978-03-15', 421996, '2007', 190, null, null);
insert into aluno values (1689, '13732332227', 'Gabriel', 'Josué', '2000-06-07', 307933, '2000', 191, null, null);
insert into aluno values (1690, '47738685442', 'Oliver', 'Pedro', '1992-03-08', 783339, '2008', 192, null, null);
insert into aluno values (1691, '49696612336', 'Bernardo', 'Caio', '1954-09-21', 361616, '1998', 193, null, null);
insert into aluno values (1692, '19511192952', 'Henrique', 'José', '1985-07-29', 257889, '2016', 194, null, null);
insert into aluno values (1693, '63553261857', 'Felipe', 'Bento', '1956-04-01', 659660, '1993', 195, null, null);
insert into aluno values (1694, '66987589831', 'Josué', 'Noah', '1979-05-14', 805317, '2014', 196, null, null);
insert into aluno values (1695, '82661617546', 'Gabriel', 'Davi', '1987-11-17', 301385, '1993', 197, null, null);
insert into aluno values (1696, '61847819519', 'Nicolas', 'Nicolas', '1952-09-28', 633043, '1992', 198, null, null);
insert into aluno values (1697, '23181586217', 'Leonardo', 'Pedro', '1979-12-17', 363278, '1996', 199, null, null);
insert into aluno values (1698, '22822872329', 'João', 'Erick', '1958-01-18', 807634, '2009', 200, null, null);
insert into aluno values (1699, '87895543456', 'Arthur', 'Davi', '1985-10-19', 668559, '2008', 201, null, null);
insert into aluno values (1700, '85218244889', 'Guilherme', 'Gabriel', '1965-07-26', 464174, '2012', 202, null, null);
insert into aluno values (1701, '55257768365', 'Vitor', 'Noah', '1970-08-01', 654068, '2000', 203, null, null);
insert into aluno values (1702, '95117639636', 'Guilherme', 'Otávio', '1974-06-24', 756625, '2012', 204, null, null);
insert into aluno values (1703, '36625575359', 'Vinícius', 'Martin', '1964-08-19', 948415, '2006', 205, null, null);
insert into aluno values (1704, '59827784325', 'Henrique', 'Francisco', '1977-04-27', 576404, '1995', 206, null, null);
insert into aluno values (1705, '85335342113', 'Arthur', 'Caleb', '1998-08-13', 683051, '2003', 207, null, null);
insert into aluno values (1706, '37475851267', 'Augusto', 'Arthur', '1981-03-19', 448956, '1991', 208, null, null);
insert into aluno values (1707, '56228314399', 'Henrique', 'Joaquim', '1999-04-14', 24329, '1992', 209, null, null);
insert into aluno values (1708, '24247614724', 'Rafael', 'Théo', '1974-08-16', 892872, '2012', 210, null, null);
insert into aluno values (1709, '76165114193', 'Nicolas', 'Erick', '1984-04-20', 584770, '2005', 211, null, null);
insert into aluno values (1710, '85343242154', 'Vitor', 'Cauã', '1966-07-25', 63110, '2009', 212, null, null);
insert into aluno values (1711, '92725492869', 'Davi', 'Gabriel', '1957-01-12', 928762, '2017', 213, null, null);
insert into aluno values (1712, '83346891799', 'Luiz', 'Tomás', '1997-02-04', 27363, '2013', 214, null, null);
insert into aluno values (1713, '16951392479', 'Matteo', 'Samuel', '1967-01-13', 716529, '2004', 215, null, null);
insert into aluno values (1714, '52818461589', 'Pedro', 'Enrico', '1954-02-01', 224994, '2004', 216, null, null);
insert into aluno values (1715, '25983535632', 'Benício', 'Bruno', '1997-06-27', 301385, '2014', 217, null, null);
insert into aluno values (1716, '37278959573', 'João', 'Davi', '1981-07-04', 6888, '1998', 218, null, null);
insert into aluno values (1717, '48368854488', 'Murilo', 'Joaquim', '1994-07-13', 435975, '2010', 219, null, null);
insert into aluno values (1718, '98119934531', 'Caio', 'Otto', '1960-04-24', 435975, '1992', 220, null, null);
insert into aluno values (1719, '99764735119', 'João', 'Leonardo', '1983-12-02', 886634, '2002', 221, null, null);
insert into aluno values (1720, '42657882914', 'Arthur', 'João', '1958-11-10', 781462, '1993', 222, null, null);
insert into aluno values (1721, '26978418822', 'Hugo', 'Caleb', '1988-02-08', 645286, '2019', 223, null, null);
insert into aluno values (1722, '56748356956', 'Vitor', 'Noah', '1984-08-07', 553464, '1998', 224, null, null);
insert into aluno values (1723, '52751699663', 'João', 'João', '1977-05-25', 803577, '1990', 225, null, null);
insert into aluno values (1724, '65327599481', 'Pedro', 'Gabriel', '1974-10-21', 65162, '2018', 226, null, null);
insert into aluno values (1725, '29988883594', 'Leonardo', 'Lucas', '1972-08-04', 389088, '2006', 227, null, null);
insert into aluno values (1726, '45863525214', 'João', 'Enzo', '1994-07-28', 583884, '2000', 228, null, null);
insert into aluno values (1727, '58286179475', 'Noah', 'Davi', '1981-11-06', 9545, '2018', 229, null, null);
insert into aluno values (1728, '48733135429', 'Davi', 'João', '1992-08-09', 944078, '1990', 230, null, null);
insert into aluno values (1729, '49662874313', 'Lorenzo', 'Otto', '1957-06-01', 55189, '2007', 231, null, null);
insert into aluno values (1730, '31315226813', 'Anthony', 'Gustavo', '1955-11-17', 708729, '2017', 232, null, null);
insert into aluno values (1731, '33121274796', 'Yago', 'Miguel', '1994-06-04', 435161, '1996', 233, null, null);
insert into aluno values (1732, '38151361527', 'Gustavo', 'Arthur', '1952-10-17', 948415, '2017', 234, null, null);
insert into aluno values (1733, '33441753828', 'Nathan', 'Pedro', '1968-09-27', 239652, '1998', 235, null, null);
insert into aluno values (1734, '12784247893', 'Emanuel', 'José', '1953-03-12', 462727, '2013', 236, null, null);
insert into aluno values (1735, '68684136142', 'Eduardo', 'João', '1957-09-28', 903487, '2019', 237, null, null);
insert into aluno values (1736, '62431317959', 'Enzo', 'Luiz', '1996-04-12', 353528, '2000', 238, null, null);
insert into aluno values (1737, '89493614358', 'Henrique', 'Arthur', '1980-05-12', 716250, '2004', 239, null, null);
insert into aluno values (1738, '63512315187', 'Lucas', 'João', '1989-11-25', 479532, '2007', 240, null, null);
insert into aluno values (1739, '21924185974', 'Yago', 'Felipe', '1998-03-03', 394321, '2006', 241, null, null);
insert into aluno values (1740, '11136689698', 'Breno', 'Yago', '1978-08-05', 601509, '2014', 242, null, null);
insert into aluno values (1741, '65477678257', 'Matteo', 'Josué', '1995-10-08', 171458, '2006', 243, null, null);
insert into aluno values (1742, '13282544434', 'Miguel', 'Davi', '1984-10-30', 703812, '2017', 244, null, null);
insert into aluno values (1743, '49425628323', 'Ícaro', 'Lucas', '1977-09-23', 773620, '1991', 245, null, null);
insert into aluno values (1744, '17981243783', 'Samuel', 'Otto', '1976-03-28', 983483, '2012', 246, null, null);
insert into aluno values (1745, '55675992447', 'João', 'Miguel', '1992-01-22', 352570, '2005', 247, null, null);
insert into aluno values (1746, '99783271611', 'Miguel', 'Raul', '1969-04-02', 260304, '2015', 248, null, null);
insert into aluno values (1747, '29973697668', 'Daniel', 'Samuel', '1952-12-29', 695898, '2007', 249, null, null);
insert into aluno values (1748, '97869571925', 'Davi', 'Bernardo', '1987-07-12', 181356, '2012', 250, null, null);
insert into aluno values (1749, '12955693563', 'Lucas', 'Enzo', '1966-05-21', 841174, '1999', 251, null, null);
insert into aluno values (1750, '26284942389', 'Vinícius', 'Luiz', '1984-04-06', 411285, '2017', 252, null, null);
insert into aluno values (1751, '14299828182', 'Miguel', 'Arthur', '1983-03-21', 626077, '1996', 253, null, null);
insert into aluno values (1752, '84387829611', 'Enzo', 'Noah', '1958-08-12', 353528, '2001', 254, null, null);
insert into aluno values (1753, '85664145539', 'Gabriel', 'Arthur', '1980-04-08', 841982, '1994', 255, null, null);
insert into aluno values (1754, '17526635445', 'Miguel', 'Oliver', '1996-06-21', 587476, '2011', 256, null, null);
insert into aluno values (1755, '34459991483', 'Nicolas', 'Otto', '1990-11-22', 77945, '2016', 257, null, null);
insert into aluno values (1756, '14411211133', 'Davi', 'Augusto', '1988-12-03', 524650, '2013', 258, null, null);
insert into aluno values (1757, '58169131551', 'Bernardo', 'Yuri', '1996-05-19', 189368, '2003', 259, null, null);
insert into aluno values (1758, '29933111189', 'Henrique', 'Rafael', '1981-03-16', 352570, '2004', 260, null, null);
insert into aluno values (1759, '45189595892', 'Gabriel', 'Antônio', '1982-06-12', 981867, '1994', 261, null, null);
insert into aluno values (1760, '47111636335', 'Henrique', 'Pedro', '1964-08-05', 50683, '2018', 262, null, null);
insert into aluno values (1761, '79348324468', 'Théo', 'Murilo', '1957-11-19', 686051, '2009', 263, null, null);
insert into aluno values (1762, '92521533316', 'Bento', 'Lucas', '1981-11-17', 477003, '2000', 264, null, null);
insert into aluno values (1763, '73523343755', 'Lucas', 'Arthur', '1996-11-25', 536249, '1994', 265, null, null);
insert into aluno values (1764, '96837261552', 'Isaac', 'Vicente', '2000-03-07', 188365, '1990', 266, null, null);
insert into aluno values (1765, '93148771453', 'Erick', 'Nicolas', '1965-01-14', 111148, '1992', 267, null, null);
insert into aluno values (1766, '99346652137', 'Miguel', 'Vicente', '1967-02-21', 181356, '2001', 268, null, null);
insert into aluno values (1767, '17838663915', 'Guilherme', 'Thomas', '1955-02-10', 522198, '2014', 269, null, null);
insert into aluno values (1768, '51356167316', 'Miguel', 'Bryan', '1954-01-17', 466432, '1997', 270, null, null);
